"Site Crawled","https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/"
"Start Date","2026-03-03"
"Start Time","14:02:29"
"Last Modified Date","2026-03-03"
"Last Modified Time","14:05:50"
"Elapsed","00:03:20"
"Report Date","2026-03-03"
"Report Time","14:05:50"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Reduce Unused JavaScript","0","0.00%","15","Internal HTML URLs with 2xx response"
"Reduce JavaScript Execution Time","0","0.00%","15","Internal HTML URLs with 2xx response"
"Minimize Main-Thread Work","0","0.00%","15","Internal HTML URLs with 2xx response"
"Request Errors","0","0.00%","15","Internal HTML URLs with 2xx response"
""
"Mobile"
"All","15","100.00%","15",""
"Viewport Not Set","0","0.00%","15",""
"Target Size","0","0.00%","15",""
"Content Not Sized Correctly","0","0.00%","15",""
"Illegible Font Size","0","0.00%","15",""
"Contains Unsupported Plugins","0","0.00%","15",""
"Mobile Alternate Link","0","0.00%","15",""
""
"Accessibility"
"All","15","100.00%","15",""
"Accessibility Score Poor","0","0.00%","15",""
"Accessibility Score Needs Improvement","0","0.00%","15",""
"Accessibility Score Good","0","0.00%","15",""
"WCAG 2.0 A Violation","0","0.00%","15",""
"WCAG 2.0 AA Violation","0","0.00%","15",""
"WCAG 2.0 AAA Violation","0","0.00%","15",""
"WCAG 2.1 AA Violation","0","0.00%","15",""
"WCAG 2.2 AA Violation","0","0.00%","15",""
"Best Practice Violation","0","0.00%","15",""
"Accesskey Attribute Value Must Be Unique","0","0.00%","15",""
"Ensure Elements Marked Presentational Are Ignored","0","0.00%","15",""
"Elements Must Not Have Tabindex Greater Than Zero","0","0.00%","15",""
"Scrollable Region Requires Keyboard Access","0","0.00%","15",""
"Skip-link Target Should Exist & Be Focusable","0","0.00%","15",""
"Required ARIA Attributes Must Be Provided","0","0.00%","15",""
"Role=text Should Have No Focusable Descendants","0","0.00%","15",""
"ARIA Attribute Must Be Used As Specified For Role","0","0.00%","15",""
"ARIA Attributes Require Valid Values","0","0.00%","15",""
"ARIA Attributes Require Valid Names","0","0.00%","15",""
"ARIA Commands Require Accessible Name","0","0.00%","15",""
"ARIA Dialog & Alertdialog Require Accessible Name","0","0.00%","15",""
